,acc,noise
0,0.86095,0.0
1,0.8616125,0.0
2,0.8595375,0.0
3,0.858475,0.0
4,0.84225,0.0
5,0.809,0.1
6,0.785625,0.1
7,0.774825,0.1
8,0.7779,0.1
9,0.778625,0.1
10,0.7737875,0.2
11,0.76385,0.2
12,0.7436,0.2
13,0.766575,0.2
14,0.767,0.2
15,0.7242125,0.3
16,0.72635,0.3
17,0.670625,0.3
18,0.74085,0.3
19,0.748575,0.3
20,0.6254375,0.4
21,0.6233125,0.4
22,0.5263,0.4
23,0.6506125,0.4
24,0.6741875,0.4
25,0.4725875,0.5
26,0.4570875,0.5
27,0.3559625,0.5
28,0.48995,0.5
29,0.50515,0.5
30,0.31465,0.6
31,0.308375,0.6
32,0.246875,0.6
33,0.3261125,0.6
34,0.3233625,0.6
35,0.224825,0.7
36,0.2133625,0.7
37,0.1878875,0.7
38,0.227025,0.7
39,0.2229,0.7
40,0.183125,0.8
41,0.1704625,0.8
42,0.156825,0.8
43,0.1777625,0.8
44,0.1817,0.8
45,0.162325,0.9
46,0.1516375,0.9
47,0.1428,0.9
48,0.1546875,0.9
49,0.1637,0.9
50,0.1499125,1.0
51,0.1415625,1.0
52,0.13525,1.0
53,0.142675,1.0
54,0.152775,1.0
